repo_name,repo_description,repo_language,repo_created_at,repo_updated_at
pretraining-or-self-training,"Codebase for the paper ""Rethinking Semi-supervised Learning with Language Models""",Python,2023-04-28T12:51:41Z,2024-02-14T01:24:23Z
python-jose_aws-kms-extension,,Python,2023-08-24T12:30:35Z,2023-09-29T04:46:38Z
rdma-core,RDMA core userspace libraries and daemons,C,2019-02-20T23:44:44Z,2024-06-03T10:16:05Z
refuel-open-domain-qa,,Python,2021-05-28T01:01:41Z,2024-01-24T14:43:32Z
rete-thewebconf-2022,,Python,2022-12-09T05:30:50Z,2024-05-16T02:16:36Z
rheoceros,Cloud-based AI / ML workflow and data application development framework,Python,2022-03-02T23:36:02Z,2024-08-20T16:52:08Z
robotiq-gripper-interface,,C++,2022-03-10T18:18:11Z,2023-09-01T13:15:32Z
sample-fire-tv-app-video-skill,"This sample Fire TV app shows how to integrate an Alexa video skill in a simple, basic way. ",Java,2019-06-07T00:05:27Z,2024-01-11T22:11:57Z
selling-partner-api-docs,This repository contains documentation for developers to use to call Selling Partner APIs.,,2020-07-28T00:27:54Z,2024-10-11T12:45:39Z
selling-partner-api-models,This repository contains OpenAPI models for developers to use when developing software to call Selling Partner APIs.,Mustache,2020-07-28T00:31:42Z,2024-10-13T19:47:37Z
selling-partner-api-samples,Sample code for Amazon Selling Partner API use cases,Java,2023-07-14T13:16:22Z,2024-10-11T12:47:33Z
seqzero,,Python,2022-09-29T20:48:11Z,2024-10-01T19:26:07Z
service-model-swift-code-generate,Modular code generator to generate Swift applications from service models.,Swift,2019-02-19T02:41:18Z,2024-07-13T00:52:35Z
sketch-constructor,Read/write/manipulate Sketch files in Node without Sketch plugins!,JavaScript,2019-01-08T18:08:52Z,2024-09-17T15:29:44Z
smoke-aws,AWS services integration for the Smoke Framework,Swift,2018-11-01T22:10:09Z,2024-09-17T15:30:58Z
smoke-aws-credentials,A library to obtain and assume automatically rotating AWS IAM roles written in the Swift programming language.,Swift,2018-11-16T00:07:50Z,2024-07-13T00:52:35Z
smoke-aws-generate,Code generator to generate the SmokeAWS library from service models.,Swift,2019-02-15T00:40:50Z,2024-07-13T00:52:35Z
smoke-aws-support,,Swift,2022-09-23T23:02:32Z,2024-07-12T21:38:41Z
